Id,Label
426,"Luca SIGNORELLI - The Flagellation of Christ"
427,"David Alfaro SIQUEIROS - Death and Funeral of Cain"
428,"Alfred SISLEY - Snow at Louveciennes"
429,"Michiel SITTOW - Katherine of Aragon"
430,"Claus SLUTER - The Prophets Daniel and Isaiah"
431,"David SMITH - VB XVII"
432,"Frans SNYDERS - A Game Stall"
433,"SODOMA - The Descent from the Cross"
434,"Pierre SOULAGES - Painting 16"
435,"Chaim SOUTINE - The Little Pastry Cook"
436,"Sir Stanley SPENCER - Saint Francis and the Birds"
437,"Léon SPILLIAERT - Moonlit Beach"
438,"Nicolas DE STAEL - Red Bottles"
439,"Jan STEEN - The Christening Feast"
440,"Frank STELLA - Kastura"
441,"Clyfford STILL - Painting, 1944"
442,"Gilbert STUART - George Washington"
443,"George STUBBS - Mares and Foals in a Landscape"
444,"Graham SUTHERLAND - Portrait of Somerset Maugham"
445,"Rufino TAMAYO - Woman with Red Mask"
446,"Yves TANGUY - The Invisibles"
447,"Antoni TÀPIES - Grey Ochre"
448,"Vladimir TATLIN - Monument to the Third International"
449,"David TENIERS - The Archduke Leopold's Gallery"
450,"Gerard TER BORCH - Dancing Couple"
451,"Hendrick TERBRUGGHEN - The Flute Player"
452,"Wayne THIEBAUD - Various Cakes"
453,"Giovanni Battista TIEPOLO - The Finding of Moses"
454,"Jean TINGUELY - Trophy of Chasse-Le-Golem"
455,"Jacopo TINTORETTO - The Annunciation"
456,"James TISSOT - Holiday (The Picnic)"
457,"TITIAN - Diana and Actaeon"
458,"Mark TOBEY - White Journey"
459,"Henri de TOULOUSE-LAUTREC - Dance at the Moulin Rouge"
460,"Jean-François DE TROY - The Oyster Lunch"
461,"J M W TURNER - Snowstorm: Steamboat off a Harbour's Mouth"
462,"Cy TWOMBLY - Bolsena"
463,"Paolo UCCELLO - The Battle of San Romano"
464,"Kitagawa UTAMARO - Lovers"
465,"Maurice UTRILLO - Flag Over the Town Hall"
466,"Féiix VALLOTTON - Landscape with Trees"
467,"Victor VASARELY - Pal-Ket"
468,"Diego de Silva y VELÁZQUEZ - Las Meninas"
469,"Jan VERMEER - Lady Seated at a Virginal"
470,"VERONESE - The Finding of Moses"
471,"Andrea del VERROCCHIO - Bust of a Woman Holding a Nosegay"
472,"Maria Elena VIEIRA DA SILVA - Checkmate"
473,"Marie-Louise-Elisabeth VIGÉE-LEBRUN - Self-portrait"
474,"Bill VIOLA - To Pray Without Ceasing"
475,"Maurice de VLAMINCK - The Circus"
476,"Simon VOUET - Time Overcome by Hope, Love and Beauty"
477,"Édouard VUILLARD - Two Schoolboys"
478,"Edward WADSWORTH - The Beached Margin"
479,"Alfred WALLIS - St Ives with Godrevy Lighthouse"
480,"Andy WARHOL - Marilyn"
481,"John William WATERHOUSE - The Lady of Shalott"
482,"Antoine WATTEAU - The Embarkation for Cythera"
483,"Carel WEIGHT - Daisy in the Garden"
484,"Tom WESSELMANN - Great American Nude No. 27"
